"Nation/State","Characteristic","Total",NA,"Any health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uninsured",NA,NA,NA
NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Any private health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Employment-based",NA,NA,NA,"Direct purchase",NA,NA,NA,"TRICARE",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Covered by Medicaid",NA,NA,NA,NA,NA,NA,NA,"Covered by Medicare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Covered by VA care",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Also covered by private insurance",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Also covered by private insurance",NA,NA,NA,"Also covered by Medicaid",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA
NA,NA,"Number","Margin of error1",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Number","Margin of error1","Percent","Margin of error1","Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas",".19 - 64 years","1744","5","1518","13","87.09999999999999","0.6","1193","15","68.40000000000001","0.8","1007","15","57.7","0.8","208","9","11.9","0.5","38","5","2.2","0.3","408","12","23.4","0.7","326","11","18.7","0.6","47","5","2.7","0.3","102","7","5.9","0.4","22","3","1.2","0.2","52","4","3","0.2","41","4","2.4","0.2","225","11","12.9","0.6"
"Arkansas",".65 years and over","546","3","544","3","99.5","0.2","278","7","50.9","1.2","122","5","22.4","1","165","6","30.1","1.1","41","4","7.5","0.7","531","3","97.09999999999999","0.4","80","4","14.6","0.8","28","2","5.1","0.4","530","3","97","0.4","265","7","48.5","1.2","80","4","14.6","0.8","49","4","9.1","0.7","3","1","0.5","0.2"
"California","All people","38980","6","36660","38","94.09999999999999","0.1","24650","85","63.2","0.2","20480","80","52.5","0.2","4969","51","12.7","0.1","643","21","1.6","0.1","16000","79","41","0.2","10860","82","27.9","0.2","1389","27","3.6","0.1","6590","18","16.9","Z","2761","27","7.1","0.1","1714","26","4.4","0.1","597","15","1.5","Z","2314","38","5.9","0.1"
"California",".Under 65 years","32560","7","30310","37","93.09999999999999","0.1","21680","82","66.59999999999999","0.3","18600","76","57.1","0.2","3634","46","11.2","0.1","428","20","1.3","0.1","9979","79","30.6","0.2","9464","82","29.1","0.3","1082","27","3.3","0.1","581","14","1.8","Z","140","7","0.4","Z","318","11","1","Z","309","11","0.9","Z","2252","37","6.9","0.1"
"California",".Under 19 years","8946","11","8667","16","96.90000000000001","0.1","5246","41","58.6","0.5","4545","41","50.8","0.5","756","23","8.4","0.3","156","11","1.7","0.1","3910","43","43.7","0.5","3878","43","43.4","0.5","479","17","5.4","0.2","49","6","0.5","0.1","11","3","0.1","Z","26","4","0.3","Z","12","2","0.1","Z","280","13","3.1","0.1"
"California",".19 - 64 years","23610","13","21640","32","91.59999999999999","0.1","16440","54","69.59999999999999","0.2","14050","52","59.5","0.2","2878","33","12.2","0.1","273","12","1.2","0.1","6069","50","25.7","0.2","5585","52","23.7","0.2","602","17","2.6","0.1","532","13","2.3","0.1","129","7","0.5","Z","292","10","1.2","Z","298","10","1.3","Z","1973","33","8.4","0.1"
"California",".65 years and over","6420","4","6358","6","99","0.1","2966","26","46.2","0.4","1878","22","29.2","0.3","1335","18","20.8","0.3","214","8","3.3","0.1","6017","12","93.7","0.2","1395","23","21.7","0.4","307","9","4.8","0.1","6010","12","93.59999999999999","0.2","2621","25","40.8","0.4","1395","23","21.7","0.4","288","8","4.5","0.1","62","5","1","0.1"
"Colorado","All people","5859","3","5395","20","92.09999999999999","0.3","4147","30","70.8","0.5","3319","30","56.6","0.5","834","19","14.2","0.3","252","13","4.3","0.2","1886","27","32.2","0.5","970","29","16.5","0.5","180","11","3.1","0.2","995","7","17","0.1","458","8","7.8","0.1","150","7","2.6","0.1","148","7","2.5","0.1","464","20","7.9","0.3"
"Colorado",".Under 65 years","4899","4","4444","20","90.7","0.4","3674","29","75","0.6","3074","30","62.8","0.6","596","18","12.2","0.4","181","12","3.7","0.2","973","27","19.9","0.6","868","28","17.7","0.6","135","11","2.8","0.2","83","5","1.7","0.1","25","3","0.5","0.1","48","4","1","0.1","84","5","1.7","0.1","455","19","9.300000000000001","0.4"
"Colorado",".Under 19 years","1282","5","1205","10","94","0.6","854","14","66.59999999999999","1.1","708","15","55.2","1.2","117","8","9.1","0.6","66","7","5.2","0.5","412","16","32.2","1.2","408","16","31.8","1.2","59","6","4.6","0.5","6","2","0.5","0.1","2","1","0.2","0.1","4","1","0.3","0.1","2","2","0.2","0.2","77","8","6","0.6"
