"Nation/State","Characteristic","Total",NA,"Covered by any health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uninsured",NA,NA,NA
NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Covered by private health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Covered by government health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Employment-based",NA,NA,NA,"Direct Purchase",NA,NA,NA,"TRICARE",NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Covered by Medicaid",NA,NA,NA,NA,NA,NA,NA,"Covered by Medicare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Covered by VA care",NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Also by private insurance",NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Also by private insurance",NA,NA,NA,"Also by Medicaid",NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error",NA,NA,NA,NA
NA,NA,"Number","Margin of Error",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Number","Margin of Error","Percent","Margin of Error","Number","Margin of Error","Percent","Margin of Error",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error",NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Number","Margin of Error","Percent","Margin of Error",NA,NA,NA,NA,NA,NA,NA,NA
NA,"65 years and over","74","1","74","1","99.099999999999994","0.40000000000000002","47","2","62.700000000000003","2.7999999999999998","36","2","48.799999999999997","2.7999999999999998","11","2","14.300000000000001","2","8","1","10.9","1.8999999999999999","71","1","95.5","1.1000000000000001","12","2","15.9","2.1000000000000001","4","1","4.9000000000000004","1.1000000000000001","70","1","94.400000000000006","1.5","43","2","58.100000000000001","2.7000000000000002","12","2","15.9","2.1000000000000001","10","1","14.1","2","1","Z","0.90000000000000002","0.40000000000000002"
"Arizona","All persons","6825","1","6143","21","90","0.29999999999999999","4246","29","62.200000000000003","0.40000000000000002","3323","30","48.700000000000003","0.40000000000000002","946","19","13.9","0.29999999999999999","212","10","3.1000000000000001","0.10000000000000001","2711","30","39.700000000000003","0.40000000000000002","1592","30","23.300000000000001","0.40000000000000002","186","9","2.7000000000000002","0.10000000000000001","1261","8","18.5","0.10000000000000001","646","10","9.5","0.10000000000000001","207","7","3","0.10000000000000001","195","7","2.8999999999999999","0.10000000000000001","681","21","10","0.29999999999999999"
NA,"Under 65 years","5665","2","4992","21","88.099999999999994","0.40000000000000002","3601","28","63.600000000000001","0.5","3015","29","53.200000000000003","0.5","587","17","10.4","0.29999999999999999","124","8","2.2000000000000002","0.10000000000000001","1590","30","28.100000000000001","0.5","1451","29","25.600000000000001","0.5","136","9","2.3999999999999999","0.20000000000000001","143","7","2.5","0.10000000000000001","33","3","0.59999999999999998","0.10000000000000001","67","5","1.2","0.10000000000000001","81","5","1.3999999999999999","0.10000000000000001","674","21","11.9","0.40000000000000002"
NA,"Under 19 years","1732","4","1601","10","92.400000000000006","0.5","965","14","55.700000000000003","0.80000000000000004","814","15","47","0.80000000000000004","142","8","8.1999999999999993","0.5","38","3","2.2000000000000002","0.20000000000000001","702","16","40.5","1","698","17","40.299999999999997","1","65","6","3.7999999999999998","0.29999999999999999","7","1","0.40000000000000002","0.10000000000000001","1","1","0.10000000000000001","Z","3","1","0.20000000000000001","0.10000000000000001","1","1","0.10000000000000001","Z","132","9","7.5999999999999996","0.5"
NA,"19 - 64 years","3933","4","3391","16","86.200000000000003","0.40000000000000002","2635","20","67","0.5","2201","20","56","0.5","445","12","11.300000000000001","0.29999999999999999","86","6","2.2000000000000002","0.10000000000000001","888","17","22.600000000000001","0.40000000000000002","753","17","19.199999999999999","0.40000000000000002","71","5","1.8","0.10000000000000001","136","7","3.5","0.20000000000000001","32","3","0.80000000000000004","0.10000000000000001","63","5","1.6000000000000001","0.10000000000000001","80","5","2","0.10000000000000001","542","15","13.800000000000001","0.40000000000000002"
NA,"65 years and over","1159","1","1152","2","99.299999999999997","0.10000000000000001","645","9","55.600000000000001","0.80000000000000004","308","8","26.600000000000001","0.69999999999999996","359","8","31","0.59999999999999998","88","6","7.5999999999999996","0.5","1121","3","96.700000000000003","0.29999999999999999","141","5","12.1","0.40000000000000002","49","4","4.2000000000000002","0.29999999999999999","1119","3","96.5","0.29999999999999999","613","9","52.899999999999999","0.80000000000000004","141","5","12.1","0.40000000000000002","114","4","9.8000000000000007","0.40000000000000002","8","1","0.69999999999999996","0.10000000000000001"
"Arkansas","All persons","2934","1","2702","12","92.099999999999994","0.40000000000000002","1820","20","62","0.69999999999999996","1398","20","47.600000000000001","0.69999999999999996","430","12","14.699999999999999","0.40000000000000002","100","6","3.3999999999999999","0.20000000000000001","1269","15","43.200000000000003","0.5","780","16","26.600000000000001","0.5","107","7","3.6000000000000001","0.20000000000000001","580","6","19.800000000000001","0.20000000000000001","299","6","10.199999999999999","0.20000000000000001","124","7","4.2000000000000002","0.20000000000000001","98","4","3.2999999999999998","0.10000000000000001","232","12","7.9000000000000004","0.40000000000000002"
NA,"Under 65 years","2463","3","2233","13","90.700000000000003","0.5","1543","20","62.700000000000003","0.80000000000000004","1281","19","52","0.80000000000000004","263","10","10.699999999999999","0.40000000000000002","56","6","2.2999999999999998","0.20000000000000001","807","15","32.799999999999997","0.59999999999999998","712","15","28.899999999999999","0.59999999999999998","77","6","3.1000000000000001","0.20000000000000001","119","6","4.7999999999999998","0.20000000000000001","30","2","1.2","0.10000000000000001","55","4","2.2000000000000002","0.20000000000000001","42","3","1.7","0.10000000000000001","230","12","9.3000000000000007","0.5"
NA,"Under 19 years","754","4","724","5","96","0.5","364","10","48.299999999999997","1.3999999999999999","312","10","41.399999999999999","1.3999999999999999","46","4","6.0999999999999996","0.59999999999999998","16","3","2.1000000000000001","0.40000000000000002","392","10","52","1.3","389","10","51.600000000000001","1.3","31","4","4.0999999999999996","0.5","4","1","0.59999999999999998","0.20000000000000001","1","Z","0.10000000000000001","Z","2","1","0.29999999999999999","0.10000000000000001","2","1","0.20000000000000001","0.10000000000000001","30","4","4","0.5"
NA,"19 - 64 years","1709","5","1509","13","88.299999999999997","0.59999999999999998","1179","14","69","0.80000000000000004","969","13","56.700000000000003","0.69999999999999996","217","8","12.699999999999999","0.5","40","4","2.3999999999999999","0.20000000000000001","415","11","24.300000000000001","0.59999999999999998","322","11","18.899999999999999","0.59999999999999998","47","4","2.7000000000000002","0.20000000000000001","115","6","6.7000000000000002","0.29999999999999999","30","2","1.7","0.10000000000000001","53","4","3.1000000000000001","0.29999999999999999","41","3","2.3999999999999999","0.20000000000000001","200","11","11.699999999999999","0.59999999999999998"
NA,"65 years and over","472","3","469","3","99.5","0.20000000000000001","277","6","58.700000000000003","1.1000000000000001","117","5","24.699999999999999","0.90000000000000002","167","5","35.5","1.1000000000000001","43","3","9.1999999999999993","0.69999999999999996","462","3","97.900000000000006","0.40000000000000002","69","4","14.6","0.80000000000000004","29","3","6.2000000000000002","0.59999999999999998","461","3","97.799999999999997","0.40000000000000002","269","6","57","1.1000000000000001","69","4","14.6","0.80000000000000004","55","3","11.699999999999999","0.69999999999999996","2","1","0.5","0.20000000000000001"
"California","All persons","38764","5","35920","41","92.700000000000003","0.10000000000000001","24428","79","63","0.20000000000000001","19862","79","51.200000000000003","0.20000000000000001","4927","47","12.699999999999999","0.10000000000000001","685","22","1.8","0.10000000000000001","15077","72","38.899999999999999","0.20000000000000001","10576","75","27.300000000000001","0.20000000000000001","1084","20","2.7999999999999998","0.10000000000000001","5778","19","14.9","Z","2634","20","6.7999999999999998","0.10000000000000001","1515","21","3.8999999999999999","0.10000000000000001","609","13","1.6000000000000001","Z","2844","41","7.2999999999999998","0.10000000000000001"
