State,Area,Percentage of people fully vaccinated
Alabama,Autauga County,0.4633
Alabama,Baldwin County,0.5689
Alabama,Barbour County,0.4521
Alabama,Bibb County,0.3604
Alabama,Blount County,0.3289
Alabama,Bullock County,0.551
Alabama,Butler County,0.3959
Alabama,Calhoun County,0.4808
Alabama,Chambers County,0.3245
Alabama,Cherokee County,0.3261
Alabama,Chilton County,0.3785
Alabama,Choctaw County,0.657
Alabama,Clarke County,0.5061
Alabama,Clay County,0.4305
Alabama,Cleburne County,0.2945
Alabama,Coffee County,0.4969
Alabama,Colbert County,0.5002
Alabama,Conecuh County,0.4358
Alabama,Coosa County,0.4111
Alabama,Covington County,0.3869
Alabama,Crenshaw County,0.3532
Alabama,Cullman County,0.3984
Alabama,Dale County,0.4928
Alabama,Dallas County,0.4372
Alabama,DeKalb County,0.3524
Alabama,Elmore County,0.4812
Alabama,Escambia County,0.3703
Alabama,Etowah County,0.4204
Alabama,Fayette County,0.3547
Alabama,Franklin County,0.4484
Alabama,Geneva County,0.4086
Alabama,Greene County,0.5063
Alabama,Hale County,0.6194
Alabama,Henry County,0.4674
Alabama,Houston County,0.4521
Alabama,Jackson County,0.5056
Alabama,Jefferson County,0.608
Alabama,Lamar County,0.4488
Alabama,Lauderdale County,0.4832
Alabama,Lawrence County,0.4774
Alabama,Lee County,0.433
Alabama,Limestone County,0.4271
Alabama,Lowndes County,0.5067
Alabama,Macon County,0.4784
Alabama,Madison County,0.6792
Alabama,Marengo County,0.5374
Alabama,Marion County,0.3699
Alabama,Marshall County,0.4804
Alabama,Mobile County,0.5161
Alabama,Monroe County,0.4319
Alabama,Montgomery County,0.5447
Alabama,Morgan County,0.4506
Alabama,Perry County,0.4712
Alabama,Pickens County,0.5101
Alabama,Pike County,0.4324
Alabama,Randolph County,0.3434
Alabama,Russell County,0.439
Alabama,St. Clair County,0.4137
Alabama,Shelby County,0.3874
Alabama,Sumter County,0.5164
Alabama,Talladega County,0.3741
Alabama,Tallapoosa County,0.3937
Alabama,Tuscaloosa County,0.4594
Alabama,Walker County,0.4795
Alabama,Washington County,0.4613
Alabama,Wilcox County,0.5298
Alabama,Winston County,0.2229
Alaska,Aleutians East Borough,0.7293
Alaska,Aleutians West Census Area,0.6289
Alaska,Anchorage Municipality,0.6873
Alaska,Bethel Census Area,0.6999
Alaska,Bristol Bay Borough,1.0697
Alaska,Chugach,#REF!
Alaska,Copper River,#REF!
Alaska,Denali Borough,0.5215
Alaska,Dillingham Census Area,0.5284
Alaska,Fairbanks North Star Borough,0.6203
Alaska,Haines Borough,0.7141
Alaska,Hoonah-Angoon Census Area,0.7233
Alaska,Juneau City and Borough,0.7868
Alaska,Kenai Peninsula Borough,0.5037
Alaska,Ketchikan Gateway Borough,0.6785
Alaska,Kodiak Island Borough,0.6373
Alaska,Kusilvak Census Area,0.6977
Alaska,Lake and Peninsula Borough,0.6996
Alaska,Matanuska-Susitna Borough,0.4431
Alaska,Nome Census Area,0.7212
Alaska,North Slope Borough,0.4033
Alaska,Northwest Arctic Borough,0.6197
Alaska,Petersburg Borough,0.7862
Alaska,Prince of Wales-Hyder Census Area,0.5221
Alaska,Sitka City and Borough,0.785
Alaska,Skagway Municipality,0.8275
Alaska,Southeast Fairbanks Census Area,0.4298
Alaska,Valdez-Cordova Census Area,0.6397
Alaska,Wrangell City and Borough,0.6063
Alaska,Yakutat City and Borough,0.6691
Alaska,Yukon-Koyukuk Census Area,0.7627
Arizona,Apache County,1.1078
Arizona,Cochise County,0.7078
Arizona,Coconino County,0.8442
Arizona,Gila County,0.6315
Arizona,Graham County,0.6924
Arizona,Greenlee County,0.4541
Arizona,La Paz County,0.5092
Arizona,Maricopa County,0.6455
Arizona,Mohave County,0.459
Arizona,Navajo County,0.8626
Arizona,Pima County,0.7643
Arizona,Pinal County,0.6365
Arizona,Santa Cruz County,1.3121
Arizona,Yavapai County,0.54
Arizona,Yuma County,0.7814
Arkansas,Arkansas County,0.5615
Arkansas,Ashley County,0.4926
Arkansas,Baxter County,0.486
Arkansas,Benton County,0.6209
Arkansas,Boone County,0.3979
Arkansas,Bradley County,0.5787
Arkansas,Calhoun County,0.3956
Arkansas,Carroll County,0.5126
Arkansas,Chicot County,0.5264
Arkansas,Clark County,0.507
Arkansas,Clay County,0.4573
Arkansas,Cleburne County,0.4585
Arkansas,Cleveland County,0.532
Arkansas,Columbia County,0.4986
Arkansas,Conway County,0.5575
Arkansas,Craighead County,0.5147
Arkansas,Crawford County,0.4797
Arkansas,Crittenden County,0.4673
Arkansas,Cross County,0.5108
Arkansas,Dallas County,0.5482
Arkansas,Desha County,0.5982
Arkansas,Drew County,0.4885
Arkansas,Faulkner County,0.5479
Arkansas,Franklin County,0.4972
Arkansas,Fulton County,0.3686
Arkansas,Garland County,0.4854
Arkansas,Grant County,0.485
Arkansas,Greene County,0.4594
Arkansas,Hempstead County,0.4182
Arkansas,Hot Spring County,0.4501
Arkansas,Howard County,0.5588
Arkansas,Independence County,0.4582
Arkansas,Izard County,0.4389
Arkansas,Jackson County,0.3955
Arkansas,Jefferson County,0.4612
Arkansas,Johnson County,0.5189
Arkansas,Lafayette County,0.4194
Arkansas,Lawrence County,0.4776
Arkansas,Lee County,0.3902
Arkansas,Lincoln County,0.3498
Arkansas,Little River County,0.4196
Arkansas,Logan County,0.4852
Arkansas,Lonoke County,0.5054
Arkansas,Madison County,0.4704
Arkansas,Marion County,0.3785
Arkansas,Miller County,0.3323
Arkansas,Mississippi County,0.4068
Arkansas,Monroe County,0.554
Arkansas,Montgomery County,0.3831
Arkansas,Nevada County,0.4656
Arkansas,Newton County,0.3507
Arkansas,Ouachita County,0.5402
Arkansas,Perry County,0.5453
Arkansas,Phillips County,0.4853
Arkansas,Pike County,0.4315
Arkansas,Poinsett County,0.4649
Arkansas,Polk County,0.3746
Arkansas,Pope County,0.5172
Arkansas,Prairie County,0.4493
Arkansas,Pulaski County,0.6239
Arkansas,Randolph County,0.4451
Arkansas,St. Francis County,0.4953
Arkansas,Saline County,0.5627
Arkansas,Scott County,0.4991
Arkansas,Searcy County,0.4017
Arkansas,Sebastian County,0.5281
Arkansas,Sevier County,0.4741
Arkansas,Sharp County,0.4313
Arkansas,Stone County,0.3906
Arkansas,Union County,0.5017
Arkansas,Van Buren County,0.4344
Arkansas,Washington County,0.627
Arkansas,White County,0.4563
Arkansas,Woodruff County,0.5495
Arkansas,Yell County,0.5076
California,Alameda County,0.8532
California,Alpine County,0.5593
California,Amador County,0.5922
California,Butte County,0.5219
California,Calaveras County,0.5471
California,Colusa County,0.6163
California,Contra Costa County,0.8567
California,Del Norte County,0.4953
California,El Dorado County,0.6399
California,Fresno County,0.6411
California,Glenn County,0.5714
California,Humboldt County,0.6776
California,Imperial County,1.0008
California,Inyo County,0.646
California,Kern County,0.5596
California,Kings County,0.4729
California,Lake County,0.5604
California,Lassen County,0.2869
California,Los Angeles County,0.7451
California,Madera County,0.5662
California,Marin County,0.8947
California,Mariposa County,0.5259
California,Mendocino County,0.692
California,Merced County,0.5887
California,Modoc County,0.4177
California,Mono County,0.6429
California,Monterey County,0.7477
California,Napa County,0.7901
California,Nevada County,0.6473
California,Orange County,0.7463
California,Placer County,0.7179
California,Plumas County,0.5601
California,Riverside County,0.6242
California,Sacramento County,0.7119
California,San Benito County,0.7804
California,San Bernardino County,0.5947
California,San Diego County,0.7712
California,San Francisco County,0.8683
California,San Joaquin County,0.695
California,San Luis Obispo County,0.6567
California,San Mateo County,0.8704
California,Santa Barbara County,0.7131
California,Santa Clara County,0.8748
California,Santa Cruz County,0.7725
California,Shasta County,0.4747
California,Sierra County,0.5392
California,Siskiyou County,0.4974
California,Solano County,0.7065
California,Sonoma County,0.7923
California,Stanislaus County,0.5601
California,Sutter County,0.6186
California,Tehama County,0.4499
California,Trinity County,0.4699
California,Tulare County,0.5639
California,Tuolumne County,0.5412
California,Ventura County,0.7347
California,Yolo County,0.7468
California,Yuba County,0.5264
Colorado,Adams County,0.7401
Colorado,Alamosa County,0.575
Colorado,Arapahoe County,0.7325
Colorado,Archuleta County,0.6474
Colorado,Baca County,0.4072
Colorado,Bent County,0.2639
Colorado,Boulder County,0.8343
Colorado,Broomfield County,0.8882
Colorado,Chaffee County,0.7015
Colorado,Cheyenne County,0.3095
Colorado,Clear Creek County,0.5251
Colorado,Conejos County,0.5147
Colorado,Costilla County,0.6528
Colorado,Crowley County,0.24
Colorado,Custer County,0.5599
Colorado,Delta County,0.5051
Colorado,Denver County,0.8341
Colorado,Dolores County,0.4823
Colorado,Douglas County,0.8168
Colorado,Eagle County,0.866
Colorado,Elbert County,0.4131
Colorado,El Paso County,0.7091
Colorado,Fremont County,0.489
Colorado,Garfield County,0.6836
Colorado,Gilpin County,0.6303
Colorado,Grand County,0.6793
Colorado,Gunnison County,0.756
Colorado,Hinsdale County,0.6446
Colorado,Huerfano County,0.5862
Colorado,Jackson County,0.5093
Colorado,Jefferson County,0.823
Colorado,Kiowa County,0.3706
Colorado,Kit Carson County,0.3721
Colorado,Lake County,0.6629
Colorado,La Plata County,0.7462
Colorado,Larimer County,0.7476
Colorado,Las Animas County,0.6467
Colorado,Lincoln County,0.381
Colorado,Logan County,0.4057
Colorado,Mesa County,0.5318
Colorado,Mineral County,0.8165
Colorado,Moffat County,0.4567
Colorado,Montezuma County,0.7274
Colorado,Montrose County,0.5299
Colorado,Morgan County,0.5114
Colorado,Otero County,0.5046
Colorado,Ouray County,0.7279
Colorado,Park County,0.5318
Colorado,Phillips County,0.5301
Colorado,Pitkin County,0.8592
Colorado,Prowers County,0.4468
Colorado,Pueblo County,0.6008
Colorado,Rio Blanco County,0.3886
Colorado,Rio Grande County,0.6503
Colorado,Routt County,0.8108
Colorado,Saguache County,0.3898
Colorado,San Juan County,1.318
Colorado,San Miguel County,0.886
Colorado,Sedgwick County,0.5162
Colorado,Summit County,0.8925
Colorado,Teller County,0.5877
Colorado,Washington County,0.3273
Colorado,Weld County,0.6967
Colorado,Yuma County,0.4506
Connecticut,Fairfield County,0.8561
Connecticut,Hartford County,0.7855
Connecticut,Litchfield County,0.7703
Connecticut,Middlesex County,0.8608
Connecticut,New Haven County,0.8124
Connecticut,New London County,0.8107
Connecticut,Tolland County,0.6902
Connecticut,Windham County,0.664
Delaware,Kent County,0.6026
Delaware,New Castle County,0.7244
Delaware,Sussex County,0.7628
District of Columbia,District of Columbia,0.8347
Florida,Alachua County,0.7031
Florida,Baker County,0.3928
Florida,Bay County,0.5287
Florida,Bradford County,0.4895
Florida,Brevard County,0.6968
Florida,Broward County,0.7493
Florida,Calhoun County,0.3464
Florida,Charlotte County,0.7221
Florida,Citrus County,0.6057
Florida,Clay County,0.5907
Florida,Collier County,0.7701
Florida,Columbia County,0.4483
Florida,DeSoto County,0.5073
Florida,Dixie County,0.362
Florida,Duval County,0.6513
Florida,Escambia County,0.5878
Florida,Flagler County,0.7036
Florida,Franklin County,0.511
Florida,Gadsden County,0.5907
Florida,Gilchrist County,0.3964
Florida,Glades County,0.3603
Florida,Gulf County,0.4575
Florida,Hamilton County,0.3632
Florida,Hardee County,0.434
Florida,Hendry County,0.5392
Florida,Hernando County,0.5993
Florida,Highlands County,0.5625
Florida,Hillsborough County,0.6958
Florida,Holmes County,0.3056
Florida,Indian River County,0.7351
Florida,Jackson County,0.4266
Florida,Jefferson County,0.6143
Florida,Lafayette County,0.3884
Florida,Lake County,0.7437
Florida,Lee County,0.688
Florida,Leon County,0.598
Florida,Levy County,0.5034
Florida,Liberty County,0.3461
Florida,Madison County,0.4817
Florida,Manatee County,0.6902
Florida,Marion County,0.6143
Florida,Martin County,0.6692
Florida,Miami-Dade County,0.8773
Florida,Monroe County,0.7866
Florida,Nassau County,0.6567
Florida,Okaloosa County,0.6948
Florida,Okeechobee County,0.4945
Florida,Orange County,0.756
Florida,Osceola County,0.8381
Florida,Palm Beach County,0.7077
Florida,Pasco County,0.6611
Florida,Pinellas County,0.679
Florida,Polk County,0.6412
Florida,Putnam County,0.4419
Florida,St. Johns County,0.8132
Florida,St. Lucie County,0.6479
Florida,Santa Rosa County,0.6031
Florida,Sarasota County,0.7605
Florida,Seminole County,0.6613
Florida,Sumter County,0.9088
Florida,Suwannee County,0.3988
Florida,Taylor County,0.4067
Florida,Union County,0.3677
Florida,Volusia County,0.6422
Florida,Wakulla County,0.4866
Florida,Walton County,0.5728
Florida,Washington County,0.3454
Georgia,Appling County,0.3891
Georgia,Atkinson County,0.4249
Georgia,Bacon County,0.3378
Georgia,Baker County,0.4817
Georgia,Baldwin County,0.4815
Georgia,Banks County,0.3492
Georgia,Barrow County,0.4891
Georgia,Bartow County,0.4326
Georgia,Ben Hill County,0.4205
Georgia,Berrien County,0.3681
Georgia,Bibb County,0.5023
Georgia,Bleckley County,0.4025
Georgia,Brantley County,0.2957
Georgia,Brooks County,0.4953
Georgia,Bryan County,0.595
Georgia,Bulloch County,0.3985
Georgia,Burke County,0.5503
Georgia,Butts County,0.3868
Georgia,Calhoun County,0.5152
Georgia,Camden County,0.4502
Georgia,Candler County,0.4658
Georgia,Carroll County,0.4357
Georgia,Catoosa County,0.4171
Georgia,Charlton County,0.2694
Georgia,Chatham County,0.5921
Georgia,Chattahoochee County,0.2431
Georgia,Chattooga County,0.4157
Georgia,Cherokee County,0.5909
Georgia,Clarke County,0.5277
Georgia,Clay County,0.8077
Georgia,Clayton County,0.5127
Georgia,Clinch County,0.4367
Georgia,Cobb County,0.6487
Georgia,Coffee County,0.4169
Georgia,Colquitt County,0.444
Georgia,Columbia County,0.5383
Georgia,Cook County,0.4319
Georgia,Coweta County,0.5253
Georgia,Crawford County,0.4232
Georgia,Crisp County,0.4685
Georgia,Dade County,0.3433
Georgia,Dawson County,0.4837
Georgia,Decatur County,0.5076
Georgia,DeKalb County,0.6375
Georgia,Dodge County,0.3955
Georgia,Dooly County,0.3973
Georgia,Dougherty County,0.5167
Georgia,Douglas County,0.5331
Georgia,Early County,0.5321
Georgia,Echols County,0.348
Georgia,Effingham County,0.4659
Georgia,Elbert County,0.4664
Georgia,Emanuel County,0.4427
Georgia,Evans County,0.4466
Georgia,Fannin County,0.4612
Georgia,Fayette County,0.7002
Georgia,Floyd County,0.488
Georgia,Forsyth County,0.6629
Georgia,Franklin County,0.4155
Georgia,Fulton County,0.6528
Georgia,Gilmer County,0.4736
Georgia,Glascock County,0.3573
Georgia,Glynn County,0.5571
Georgia,Gordon County,0.4286
Georgia,Grady County,0.4696
Georgia,Greene County,0.6516
Georgia,Gwinnett County,0.6359
Georgia,Habersham County,0.4583
Georgia,Hall County,0.5227
Georgia,Hancock County,0.5354
Georgia,Haralson County,0.3853
Georgia,Harris County,0.5014
Georgia,Hart County,0.4312
Georgia,Heard County,0.3303
Georgia,Henry County,0.531
Georgia,Houston County,0.515
Georgia,Irwin County,0.4216
Georgia,Jackson County,0.5316
Georgia,Jasper County,0.398
Georgia,Jeff Davis County,0.3465
Georgia,Jefferson County,0.5779
Georgia,Jenkins County,0.4143
Georgia,Johnson County,0.3818
Georgia,Jones County,0.4909
Georgia,Lamar County,0.4033
Georgia,Lanier County,0.3125
Georgia,Laurens County,0.4807
Georgia,Lee County,0.5681
Georgia,Liberty County,0.3481
Georgia,Lincoln County,0.5225
Georgia,Long County,0.2643
Georgia,Lowndes County,0.419
Georgia,Lumpkin County,0.4077
Georgia,McDuffie County,0.4944
Georgia,McIntosh County,0.445
Georgia,Macon County,0.4645
Georgia,Madison County,0.4955
Georgia,Marion County,0.4549
Georgia,Meriwether County,0.4659
Georgia,Miller County,0.5826
Georgia,Mitchell County,0.5123
Georgia,Monroe County,0.4918
Georgia,Montgomery County,0.4041
Georgia,Morgan County,0.5259
Georgia,Murray County,0.4082
Georgia,Muscogee County,0.4702
Georgia,Newton County,0.5003
Georgia,Oconee County,0.687
Georgia,Oglethorpe County,0.4826
Georgia,Paulding County,0.4619
Georgia,Peach County,0.5126
Georgia,Pickens County,0.4951
Georgia,Pierce County,0.375
Georgia,Pike County,0.3878
Georgia,Polk County,0.4488
Georgia,Pulaski County,0.4103
Georgia,Putnam County,0.5032
Georgia,Quitman County,0.395
Georgia,Rabun County,0.5312
Georgia,Randolph County,0.5122
Georgia,Richmond County,0.4711
Georgia,Rockdale County,0.5837
Georgia,Schley County,0.3899
Georgia,Screven County,0.5276
Georgia,Seminole County,0.4876
Georgia,Spalding County,0.4714
Georgia,Stephens County,0.4663
Georgia,Stewart County,0.3803
Georgia,Sumter County,0.5508
Georgia,Talbot County,0.5299
Georgia,Taliaferro County,0.5057
Georgia,Tattnall County,0.3648
Georgia,Taylor County,0.4904
Georgia,Telfair County,0.3128
Georgia,Terrell County,0.6149
Georgia,Thomas County,0.5346
Georgia,Tift County,0.4602
Georgia,Toombs County,0.4522
Georgia,Towns County,0.5806
Georgia,Treutlen County,0.3842
Georgia,Troup County,0.4239
Georgia,Turner County,0.5589
Georgia,Twiggs County,0.6059
Georgia,Union County,0.5508
Georgia,Upson County,0.4993
Georgia,Walker County,0.3601
Georgia,Walton County,0.4872
Georgia,Ware County,0.4234
Georgia,Warren County,0.5223
Georgia,Washington County,0.4899
Georgia,Wayne County,0.4152
Georgia,Webster County,0.4788
Georgia,Wheeler County,0.2845
Georgia,White County,0.4271
Georgia,Whitfield County,0.4705
Georgia,Wilcox County,0.3941
Georgia,Wilkes County,0.5128
Georgia,Wilkinson County,0.5507
Georgia,Worth County,0.4497
Hawaii,Hawaii County,#REF!
Hawaii,Honolulu County,#REF!
Hawaii,Kalawao County,#REF!
Hawaii,Kauai County,#REF!
Hawaii,Maui County,#REF!
Idaho,Ada County,0.7237
Idaho,Adams County,0.4827
Idaho,Bannock County,0.564
Idaho,Bear Lake County,0.4941
Idaho,Benewah County,0.5643
Idaho,Bingham County,0.5146
Idaho,Blaine County,0.8924
Idaho,Boise County,0.3786
Idaho,Bonner County,0.4786
Idaho,Bonneville County,0.5861
Idaho,Boundary County,0.3847
Idaho,Butte County,0.5027
Idaho,Camas County,0.5519
Idaho,Canyon County,0.5221
Idaho,Caribou County,0.4289
Idaho,Cassia County,0.455
Idaho,Clark County,0.3417
Idaho,Clearwater County,0.4492
Idaho,Custer County,0.5062
Idaho,Elmore County,0.6269
Idaho,Franklin County,0.4854
Idaho,Fremont County,0.474
Idaho,Gem County,0.439
Idaho,Gooding County,0.4575
Idaho,Idaho County,0.3235
Idaho,Jefferson County,0.473
Idaho,Jerome County,0.4986
Idaho,Kootenai County,0.5183
Idaho,Latah County,0.6367
Idaho,Lemhi County,0.5054
Idaho,Lewis County,0.5412
Idaho,Lincoln County,0.4321
Idaho,Madison County,0.5838
Idaho,Minidoka County,0.4557
Idaho,Nez Perce County,0.6007
Idaho,Oneida County,0.5021
Idaho,Owyhee County,0.3782
Idaho,Payette County,0.3431
Idaho,Power County,0.5243
Idaho,Shoshone County,0.4543
Idaho,Teton County,0.7185
Idaho,Twin Falls County,0.5359
Idaho,Valley County,0.7075
Idaho,Washington County,0.418
Illinois,Adams County,0.5176
Illinois,Alexander County,0.2558
Illinois,Bond County,0.4738
Illinois,Boone County,0.6115
Illinois,Brown County,0.5412
Illinois,Bureau County,0.5712
Illinois,Calhoun County,0.4942
Illinois,Carroll County,0.4913
Illinois,Cass County,0.6136
Illinois,Champaign County,0.6542
Illinois,Christian County,0.4862
Illinois,Clark County,0.4474
Illinois,Clay County,0.3807
Illinois,Clinton County,0.57
Illinois,Coles County,0.4574
Illinois,Cook County,0.7358
Illinois,Crawford County,0.5003
Illinois,Cumberland County,0.3915
Illinois,DeKalb County,0.5696
Illinois,De Witt County,0.5256
Illinois,Douglas County,0.495
Illinois,DuPage County,0.7633
Illinois,Edgar County,0.4554
Illinois,Edwards County,0.3849
Illinois,Effingham County,0.4844
Illinois,Fayette County,0.3615
Illinois,Ford County,0.5703
Illinois,Franklin County,0.4405
Illinois,Fulton County,0.5714
Illinois,Gallatin County,0.4905
Illinois,Greene County,0.4389
Illinois,Grundy County,0.5831
Illinois,Hamilton County,0.3871
Illinois,Hancock County,0.3961
Illinois,Hardin County,0.3926
Illinois,Henderson County,0.3485
Illinois,Henry County,0.574
Illinois,Iroquois County,0.4959
Illinois,Jackson County,0.5103
Illinois,Jasper County,0.4186
Illinois,Jefferson County,0.4648
Illinois,Jersey County,0.5453
Illinois,Jo Daviess County,0.4814
Illinois,Johnson County,0.5043
Illinois,Kane County,0.671
Illinois,Kankakee County,0.521
Illinois,Kendall County,0.7064
Illinois,Knox County,0.5885
Illinois,Lake County,0.7148
Illinois,LaSalle County,0.5889
Illinois,Lawrence County,0.3848
Illinois,Lee County,0.5912
Illinois,Livingston County,0.5077
Illinois,Logan County,0.533
Illinois,McDonough County,0.4885
Illinois,McHenry County,0.6668
Illinois,McLean County,0.6385
Illinois,Macon County,0.5229
Illinois,Macoupin County,0.539
Illinois,Madison County,0.5907
Illinois,Marion County,0.4514
Illinois,Marshall County,0.5683
Illinois,Mason County,0.5342
Illinois,Massac County,0.4809
Illinois,Menard County,0.5751
Illinois,Mercer County,0.5562
Illinois,Monroe County,0.6226
Illinois,Montgomery County,0.5119
Illinois,Morgan County,0.5472
Illinois,Moultrie County,0.4357
Illinois,Ogle County,0.5738
Illinois,Peoria County,0.6098
Illinois,Perry County,0.4998
Illinois,Piatt County,0.6275
Illinois,Pike County,0.4048
Illinois,Pope County,0.3761
Illinois,Pulaski County,0.3901
Illinois,Putnam County,0.5767
Illinois,Randolph County,0.5075
Illinois,Richland County,0.4709
Illinois,Rock Island County,0.5359
Illinois,St. Clair County,0.5745
Illinois,Saline County,0.4669
Illinois,Sangamon County,0.6508
Illinois,Schuyler County,0.5487
Illinois,Scott County,0.4275
Illinois,Shelby County,0.414
Illinois,Stark County,0.5274
Illinois,Stephenson County,0.5271
Illinois,Tazewell County,0.5843
Illinois,Union County,0.5504
Illinois,Vermilion County,0.4346
Illinois,Wabash County,0.4468
Illinois,Warren County,0.4879
Illinois,Washington County,0.5785
Illinois,Wayne County,0.3834
Illinois,White County,0.4652
Illinois,Whiteside County,0.5207
Illinois,Will County,0.6744
Illinois,Williamson County,0.5182
Illinois,Winnebago County,0.5729
Illinois,Woodford County,0.5513
Indiana,Adams County,0.3508
Indiana,Allen County,0.563
Indiana,Bartholomew County,0.6557
Indiana,Benton County,0.4426
Indiana,Blackford County,0.4825
Indiana,Boone County,0.7831
Indiana,Brown County,0.5368
Indiana,Carroll County,0.391
Indiana,Cass County,0.4764
Indiana,Clark County,0.6502
Indiana,Clay County,0.59
Indiana,Clinton County,0.5074
Indiana,Crawford County,0.3886
Indiana,Daviess County,0.3462
Indiana,Dearborn County,0.6518
Indiana,Decatur County,0.5007
Indiana,DeKalb County,0.4474
Indiana,Delaware County,0.5001
Indiana,Dubois County,0.5983
Indiana,Elkhart County,0.4576
Indiana,Fayette County,0.4189
Indiana,Floyd County,0.6055
Indiana,Fountain County,0.4825
Indiana,Franklin County,0.3982
Indiana,Fulton County,0.4117
Indiana,Gibson County,0.4824
Indiana,Grant County,0.43
Indiana,Greene County,0.426
Indiana,Hamilton County,0.7994
Indiana,Hancock County,0.747
Indiana,Harrison County,0.5432
Indiana,Hendricks County,0.8002
Indiana,Henry County,0.5374
Indiana,Howard County,0.4976
Indiana,Huntington County,0.5259
Indiana,Jackson County,0.5603
Indiana,Jasper County,0.4996
Indiana,Jay County,0.3946
Indiana,Jefferson County,0.5839
Indiana,Jennings County,0.4254
Indiana,Johnson County,0.6437
Indiana,Knox County,0.4989
Indiana,Kosciusko County,0.4271
Indiana,LaGrange County,0.2375
Indiana,Lake County,0.595
Indiana,LaPorte County,0.5822
Indiana,Lawrence County,0.5102
Indiana,Madison County,0.548
Indiana,Marion County,0.6067
Indiana,Marshall County,0.4631
Indiana,Martin County,0.469
Indiana,Miami County,0.4171
Indiana,Monroe County,0.6286
Indiana,Montgomery County,0.4781
Indiana,Morgan County,0.57
Indiana,Newton County,0.3361
Indiana,Noble County,0.4034
Indiana,Ohio County,0.7831
Indiana,Orange County,0.5816
Indiana,Owen County,0.4402
Indiana,Parke County,0.4152
Indiana,Perry County,0.5927
Indiana,Pike County,0.5987
Indiana,Porter County,0.6053
Indiana,Posey County,0.489
Indiana,Pulaski County,0.4588
Indiana,Putnam County,0.4438
Indiana,Randolph County,0.4693
Indiana,Ripley County,0.5003
Indiana,Rush County,0.4829
Indiana,St. Joseph County,0.6178
Indiana,Scott County,0.4581
Indiana,Shelby County,0.6126
Indiana,Spencer County,0.4601
Indiana,Starke County,0.3883
Indiana,Steuben County,0.4948
Indiana,Sullivan County,0.5132
Indiana,Switzerland County,0.3261
Indiana,Tippecanoe County,0.6181
Indiana,Tipton County,0.4679
Indiana,Union County,0.5231
Indiana,Vanderburgh County,0.6011
Indiana,Vermillion County,0.4875
Indiana,Vigo County,0.5178
Indiana,Wabash County,0.4213
Indiana,Warren County,0.4786
Indiana,Warrick County,0.6633
Indiana,Washington County,0.4206
Indiana,Wayne County,0.5167
Indiana,Wells County,0.4393
Indiana,White County,0.5652
Indiana,Whitley County,0.4922
Iowa,Adair County,0.5069
Iowa,Adams County,0.5553
Iowa,Allamakee County,0.5501
Iowa,Appanoose County,0.4831
Iowa,Audubon County,0.5819
Iowa,Benton County,0.6061
Iowa,Black Hawk County,0.6151
Iowa,Boone County,0.6585
Iowa,Bremer County,0.6229
Iowa,Buchanan County,0.5522
Iowa,Buena Vista County,0.6896
Iowa,Butler County,0.5741
Iowa,Calhoun County,0.6034
Iowa,Carroll County,0.6245
Iowa,Cass County,0.5802
Iowa,Cedar County,0.6239
Iowa,Cerro Gordo County,0.6429
Iowa,Cherokee County,0.5334
Iowa,Chickasaw County,0.5548
Iowa,Clarke County,0.569
Iowa,Clay County,0.525
Iowa,Clayton County,0.4907
Iowa,Clinton County,0.5545
Iowa,Crawford County,0.5449
Iowa,Dallas County,0.7697
Iowa,Davis County,0.3826
Iowa,Decatur County,0.4151
Iowa,Delaware County,0.553
Iowa,Des Moines County,0.522
Iowa,Dickinson County,0.6204
Iowa,Dubuque County,0.6673
Iowa,Emmet County,0.5214
Iowa,Fayette County,0.55
Iowa,Floyd County,0.5368
Iowa,Franklin County,0.5499
Iowa,Fremont County,0.5481
Iowa,Greene County,0.5899
Iowa,Grundy County,0.6307
Iowa,Guthrie County,0.601
Iowa,Hamilton County,0.6371
Iowa,Hancock County,0.4985
Iowa,Hardin County,0.5602
Iowa,Harrison County,0.5352
Iowa,Henry County,0.5597
Iowa,Howard County,0.5291
Iowa,Humboldt County,0.511
Iowa,Ida County,0.4965
Iowa,Iowa County,0.6405
Iowa,Jackson County,0.543
Iowa,Jasper County,0.6038
Iowa,Jefferson County,0.5028
Iowa,Johnson County,0.7845
Iowa,Jones County,0.6015
Iowa,Keokuk County,0.4789
Iowa,Kossuth County,0.5221
Iowa,Lee County,0.5149
Iowa,Linn County,0.702
Iowa,Louisa County,0.5367
Iowa,Lucas County,0.4657
Iowa,Lyon County,0.436
Iowa,Madison County,0.5684
Iowa,Mahaska County,0.4522
Iowa,Marion County,0.5446
Iowa,Marshall County,0.6674
Iowa,Mills County,0.5961
Iowa,Mitchell County,0.4968
Iowa,Monona County,0.5442
Iowa,Monroe County,0.4627
Iowa,Montgomery County,0.5741
Iowa,Muscatine County,0.6215
Iowa,O'Brien County,0.5107
Iowa,Osceola County,0.4513
Iowa,Page County,0.5388
Iowa,Palo Alto County,0.5125
Iowa,Plymouth County,0.543
Iowa,Pocahontas County,0.5154
Iowa,Polk County,0.7244
Iowa,Pottawattamie County,0.6014
Iowa,Poweshiek County,0.6049
Iowa,Ringgold County,0.5317
Iowa,Sac County,0.5322
Iowa,Scott County,0.6443
Iowa,Shelby County,0.5954
Iowa,Sioux County,0.4285
Iowa,Story County,0.6546
Iowa,Tama County,0.6325
