"Nation/State","Characteristic","Total",NA,"Any health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uninsured",NA,NA,NA
NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Any private health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Employment-based",NA,NA,NA,"Direct purchase",NA,NA,NA,"TRICARE",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Covered by Medicaid",NA,NA,NA,NA,NA,NA,NA,"Covered by Medicare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Covered by VA care",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Also covered by private insurance",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Also covered by private insurance",NA,NA,NA,"Also covered by Medicaid",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA
NA,NA,"Number","Margin of error1",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Number","Margin of error1","Percent","Margin of error1","Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA,NA,NA,NA,NA
"District of Columbia","All people","669","1","651","3","97.3","0.5","493","13","73.7","2","433","13","64.7","1.9","77","6","11.5","1","13","3","1.9","0.4","225","13","33.6","1.9","163","12","24.4","1.9","24","7","3.6","1","86","2","12.9","0.3","49","2","7.3","0.3","29","2","4.3","0.4","8","2","1.2","0.2","18","3","2.7","0.5"
"District of Columbia",".Under 65 years","583","1","565","3","97","0.5","440","13","75.5","2.2999999999999998","393","13","67.400000000000006","2.2000000000000002","57","6","9.6999999999999993","1","9","2","1.5","0.4","144","13","24.8","2.2000000000000002","138","13","23.7","2.1","16","7","2.7","1.2","6","2","1","0.3","1","1","0.2","0.1","4","1","0.6","0.2","5","1","0.8","0.2","18","3","3","0.5"
"District of Columbia",".Under 19 years","134","2","132","2","98.7","0.9","89","7","66.099999999999994","5.5","77","6","57.3","4.9000000000000004","12","4","9.1","2.8","4","2","3","1.5","52","6","39.1","4.7","52","6","39","4.7","9","5","6.4","3.6","1","1","0.4","0.5","D","D","D","D","D","D","D","D","D","D","D","D","2","1","1.3","0.9"
"District of Columbia",".19 - 64 years","449","2","433","3","96.5","0.7","352","7","78.400000000000006","1.6","316","8","70.400000000000006","1.7","44","4","9.9","0.9","5","1","1.1000000000000001","0.3","92","8","20.5","1.7","86","7","19.2","1.7","7","2","1.6","0.5","5","1","1.2","0.3","D","D","D","D","D","D","D","D","D","D","D","D","16","3","3.5","0.7"
"District of Columbia",".65 years and over","87","Z","86","1","99.3","0.4","53","2","61.1","2.8","41","3","47.1","3.1","20","2","23.5","2.7","4","1","4.0999999999999996","1.3","81","1","93.3","1.3","25","2","29.1","2.7","9","2","10.1","2.1","81","1","93","1.4","48","2","55.1","2.8","25","2","29.1","2.7","3","1","3.9","1","1","Z","0.7","0.4"
"Florida","All people","22280","6","19900","44","89.3","0.2","14310","72","64.2","0.3","10190","68","45.7","0.3","4250","40","19.100000000000001","0.2","848","27","3.8","0.1","8352","48","37.5","0.2","3955","51","17.8","0.2","642","19","2.9","0.1","5029","16","22.6","0.1","2180","24","9.8000000000000007","0.1","907","17","4.0999999999999996","0.1","671","19","3","0.1","2381","44","10.7","0.2"
"Florida",".Under 65 years","17460","8","15130","46","86.6","0.3","12060","67","69.099999999999994","0.4","9102","63","52.1","0.4","3005","35","17.2","0.2","518","26","3","0.1","3763","46","21.6","0.3","3250","47","18.600000000000001","0.3","426","18","2.4","0.1","446","14","2.6","0.1","119","7","0.7","Z","202","10","1.2","0.1","330","15","1.9","0.1","2335","44","13.4","0.3"
"Florida",".Under 19 years","4648","8","4297","17","92.5","0.3","2637","31","56.7","0.7","2033","31","43.7","0.6","556","17","12","0.4","160","13","3.4","0.3","1850","29","39.799999999999997","0.6","1827","28","39.299999999999997","0.6","182","11","3.9","0.2","30","4","0.6","0.1","7","2","0.1","Z","14","3","0.3","0.1","12","3","0.3","0.1","351","15","7.5","0.3"
"Florida",".19 - 64 years","12810","10","10830","37","84.5","0.3","9427","47","73.599999999999994","0.4","7069","47","55.2","0.4","2449","29","19.100000000000001","0.2","358","16","2.8","0.1","1913","32","14.9","0.2","1423","30","11.1","0.2","244","12","1.9","0.1","416","13","3.2","0.1","113","7","0.9","0.1","189","9","1.5","0.1","318","14","2.5","0.1","1984","36","15.5","0.3"
"Florida",".65 years and over","4816","4","4769","6","99","0.1","2242","25","46.6","0.5","1086","20","22.6","0.4","1245","21","25.9","0.4","330","10","6.9","0.2","4589","9","95.3","0.2","705","14","14.6","0.3","216","7","4.5","0.2","4584","9","95.2","0.2","2060","24","42.8","0.5","705","14","14.6","0.3","341","10","7.1","0.2","47","4","1","0.1"
